YEAR,STNAME,CTYNAME,Death Rate (%),POPULATION,Indicator
2005,Oklahoma,Pushmataha County,0.014072458526996873,11467,Control
2005,Oklahoma,Roger Mills County,0.014072458526996873,3261,Control
2005,Oklahoma,Rogers County,0.014072458526996873,79669,Control
2005,Oklahoma,Seminole County,0.014072458526996873,24119,Control
2005,Oklahoma,Sequoyah County,0.014072458526996873,40204,Control
2005,Oklahoma,Stephens County,0.014072458526996873,42544,Control
2005,Oklahoma,Texas County,0.014072458526996873,20021,Control
2005,Oklahoma,Tillman County,0.014072458526996873,8358,Control
2005,Oklahoma,Tulsa County,0.021577016793234288,570051,Control
2005,Oklahoma,Wagoner County,0.017427399039908743,63119,Control
2005,Oklahoma,Washington County,0.014072458526996873,48740,Control
2005,Oklahoma,Washita County,0.014072458526996873,11264,Control
2005,Oklahoma,Woods County,0.014072458526996873,8540,Control
2005,Oklahoma,Woodward County,0.014072458526996873,18849,Control
2006,Oklahoma,Adair County,0.019886074111782143,21858,Control
2006,Oklahoma,Alfalfa County,0.019886074111782143,5584,Control
2006,Oklahoma,Atoka County,0.019886074111782143,14308,Control
2006,Oklahoma,Beaver County,0.019886074111782143,5313,Control
2006,Oklahoma,Beckham County,0.019886074111782143,19315,Control
2006,Oklahoma,Blaine County,0.019886074111782143,12493,Control
2006,Oklahoma,Bryan County,0.019886074111782143,38956,Control
2006,Oklahoma,Caddo County,0.019886074111782143,29637,Control
2006,Oklahoma,Canadian County,0.019886074111782143,100421,Control
2006,Oklahoma,Carter County,0.019886074111782143,46980,Control
2006,Oklahoma,Cherokee County,0.02664535038635758,45036,Control
2006,Oklahoma,Choctaw County,0.019886074111782143,15091,Control
2006,Oklahoma,Cimarron County,0.019886074111782143,2684,Control
2006,Oklahoma,Cleveland County,0.010758287108559724,232379,Control
2006,Oklahoma,Coal County,0.019886074111782143,5613,Control
2006,Oklahoma,Comanche County,0.019886074111782143,112293,Control
2006,Oklahoma,Cotton County,0.019886074111782143,6393,Control
2006,Oklahoma,Craig County,0.019886074111782143,15006,Control
2006,Oklahoma,Creek County,0.02638677143192213,68216,Control
2006,Oklahoma,Custer County,0.019886074111782143,25704,Control
2006,Oklahoma,Delaware County,0.019886074111782143,39873,Control
2006,Oklahoma,Dewey County,0.019886074111782143,4369,Control
2006,Oklahoma,Ellis County,0.019886074111782143,3769,Control
2006,Oklahoma,Garfield County,0.019886074111782143,57145,Control
2006,Oklahoma,Garvin County,0.019886074111782143,26955,Control
2006,Oklahoma,Grady County,0.019886074111782143,50051,Control
2006,Oklahoma,Grant County,0.019886074111782143,4513,Control
2006,Oklahoma,Greer County,0.019886074111782143,5739,Control
2006,Oklahoma,Harmon County,0.019886074111782143,2916,Control
2006,Oklahoma,Harper County,0.019886074111782143,3333,Control
2006,Oklahoma,Haskell County,0.019886074111782143,12058,Control
2006,Oklahoma,Hughes County,0.019886074111782143,13605,Control
2006,Oklahoma,Jackson County,0.019886074111782143,26241,Control
2006,Oklahoma,Jefferson County,0.019886074111782143,6289,Control
2006,Oklahoma,Johnston County,0.019886074111782143,10421,Control
2006,Oklahoma,Kay County,0.019886074111782143,45760,Control
2006,Oklahoma,Kingfisher County,0.019886074111782143,14092,Control
2006,Oklahoma,Kiowa County,0.019886074111782143,9540,Control
2006,Oklahoma,Latimer County,0.019886074111782143,10487,Control
2006,Oklahoma,Le Flore County,0.019886074111782143,49200,Control
2006,Oklahoma,Lincoln County,0.019886074111782143,32203,Control
2006,Oklahoma,Logan County,0.019886074111782143,35756,Control
2006,Oklahoma,Love County,0.019886074111782143,9048,Control
2006,Oklahoma,McClain County,0.019886074111782143,30920,Control
2006,Oklahoma,McCurtain County,0.019886074111782143,33467,Control
2006,Oklahoma,McIntosh County,0.019886074111782143,19476,Control
2006,Oklahoma,Major County,0.019886074111782143,7200,Control
2006,Oklahoma,Marshall County,0.019886074111782143,14594,Control
2006,Oklahoma,Mayes County,0.019886074111782143,39361,Control
2006,Oklahoma,Murray County,0.019886074111782143,12685,Control
2006,Oklahoma,Muskogee County,0.019886074111782143,70431,Control
2006,Oklahoma,Noble County,0.019886074111782143,11030,Control
2006,Oklahoma,Nowata County,0.019886074111782143,10650,Control
2006,Oklahoma,Okfuskee County,0.019886074111782143,11191,Control
2006,Oklahoma,Oklahoma County,0.013852673926814591,693007,Control
2006,Oklahoma,Okmulgee County,0.019886074111782143,39156,Control
2006,Oklahoma,Osage County,0.019886074111782143,44933,Control
2006,Oklahoma,Ottawa County,0.019886074111782143,32757,Control
2006,Oklahoma,Pawnee County,0.019886074111782143,16512,Control
2006,Oklahoma,Payne County,0.019886074111782143,79741,Control
2006,Oklahoma,Pittsburg County,0.019886074111782143,44249,Control
2006,Oklahoma,Pontotoc County,0.019886074111782143,35721,Control
2006,Oklahoma,Pottawatomie County,0.022006396525923535,68162,Control
2006,Oklahoma,Pushmataha County,0.019886074111782143,11517,Control
2006,Oklahoma,Roger Mills County,0.019886074111782143,3241,Control
2006,Oklahoma,Rogers County,0.019886074111782143,81476,Control
2006,Oklahoma,Seminole County,0.019886074111782143,24109,Control
2006,Oklahoma,Sequoyah County,0.019886074111782143,40728,Control
2006,Oklahoma,Stephens County,0.019886074111782143,42751,Control
2006,Oklahoma,Texas County,0.019886074111782143,20096,Control
2006,Oklahoma,Tillman County,0.019886074111782143,8259,Control
2006,Oklahoma,Tulsa County,0.01957486172005869,577271,Control
2006,Oklahoma,Wagoner County,0.019978177682838747,65071,Control
2006,Oklahoma,Washington County,0.019886074111782143,49058,Control
2006,Oklahoma,Washita County,0.019886074111782143,11465,Control
2006,Oklahoma,Woods County,0.019886074111782143,8390,Control
2006,Oklahoma,Woodward County,0.019886074111782143,19016,Control
2007,Oklahoma,Adair County,0.017222766562305137,21938,Control
2007,Oklahoma,Alfalfa County,0.017222766562305137,5571,Control
2007,Oklahoma,Atoka County,0.017222766562305137,14453,Control
2007,Oklahoma,Beaver County,0.017222766562305137,5325,Control
2007,Oklahoma,Beckham County,0.017222766562305137,20787,Control
2007,Oklahoma,Blaine County,0.017222766562305137,12607,Control
2007,Oklahoma,Bryan County,0.017222766562305137,39474,Control
2007,Oklahoma,Caddo County,0.017222766562305137,28479,Control
2007,Oklahoma,Canadian County,0.009620194712740986,103948,Control
2007,Oklahoma,Carter County,0.017222766562305137,47287,Control
2007,Oklahoma,Cherokee County,0.017222766562305137,45065,Control
2007,Oklahoma,Choctaw County,0.017222766562305137,15002,Control
2007,Oklahoma,Cimarron County,0.017222766562305137,2655,Control
2007,Oklahoma,Cleveland County,0.010173543699609166,235906,Control
2007,Oklahoma,Coal County,0.017222766562305137,5654,Control
2007,Oklahoma,Comanche County,0.013100093447333257,114503,Control
2007,Oklahoma,Cotton County,0.017222766562305137,6367,Control
2007,Oklahoma,Craig County,0.017222766562305137,15136,Control
2007,Oklahoma,Creek County,0.0203384905934481,68835,Control
2007,Oklahoma,Custer County,0.017222766562305137,25865,Control
2007,Oklahoma,Delaware County,0.017222766562305137,40511,Control
2007,Oklahoma,Dewey County,0.017222766562305137,4368,Control
2007,Oklahoma,Ellis County,0.017222766562305137,3836,Control
2007,Oklahoma,Garfield County,0.017222766562305137,57434,Control
2007,Oklahoma,Garvin County,0.017222766562305137,27074,Control
2007,Oklahoma,Grady County,0.017222766562305137,50428,Control
2007,Oklahoma,Grant County,0.017222766562305137,4482,Control
2007,Oklahoma,Greer County,0.017222766562305137,5803,Control
2007,Oklahoma,Harmon County,0.017222766562305137,2833,Control
2007,Oklahoma,Harper County,0.017222766562305137,3302,Control
2007,Oklahoma,Haskell County,0.017222766562305137,12102,Control
2007,Oklahoma,Hughes County,0.017222766562305137,13651,Control
2007,Oklahoma,Jackson County,0.017222766562305137,25739,Control
2007,Oklahoma,Jefferson County,0.017222766562305137,6228,Control
2007,Oklahoma,Johnston County,0.017222766562305137,10458,Control
2007,Oklahoma,Kay County,0.017222766562305137,45955,Control
2007,Oklahoma,Kingfisher County,0.017222766562305137,14279,Control
