STNAME,CTYNAME,YEAR,POPULATION
Illinois,Johnson County,2003,13445
Illinois,Kane County,2003,453855
Illinois,Kankakee County,2003,106096
Illinois,Kendall County,2003,66868
Illinois,Knox County,2003,53939
Illinois,Lake County,2003,676086
Illinois,LaSalle County,2003,110468
Illinois,Lawrence County,2003,16407
Illinois,Lee County,2003,35096
Illinois,Livingston County,2003,38572
Illinois,Logan County,2003,30486
Illinois,McDonough County,2003,33001
Illinois,McHenry County,2003,286909
Illinois,McLean County,2003,157257
Illinois,Macon County,2003,110656
Illinois,Macoupin County,2003,48709
Illinois,Madison County,2003,263023
Illinois,Marion County,2003,40454
Illinois,Marshall County,2003,12905
Illinois,Mason County,2003,15711
Illinois,Massac County,2003,15043
Illinois,Menard County,2003,12473
Illinois,Mercer County,2003,16751
Illinois,Monroe County,2003,29936
Illinois,Montgomery County,2003,30176
Illinois,Morgan County,2003,35958
Illinois,Moultrie County,2003,14284
Illinois,Ogle County,2003,52808
Illinois,Peoria County,2003,181901
Illinois,Perry County,2003,22618
Illinois,Piatt County,2003,16287
Illinois,Pike County,2003,16790
Illinois,Pope County,2003,4612
Illinois,Pulaski County,2003,6946
Illinois,Putnam County,2003,6074
Illinois,Randolph County,2003,33064
Illinois,Richland County,2003,16049
Illinois,Rock Island County,2003,147044
Illinois,St. Clair County,2003,257753
Illinois,Saline County,2003,26112
Illinois,Sangamon County,2003,191850
Illinois,Schuyler County,2003,6974
Illinois,Scott County,2003,5429
Illinois,Shelby County,2003,22370
Illinois,Stark County,2003,6174
Illinois,Stephenson County,2003,47996
Illinois,Tazewell County,2003,127768
Illinois,Union County,2003,18137
Illinois,Vermilion County,2003,82364
Illinois,Wabash County,2003,12541
Illinois,Warren County,2003,18114
Illinois,Washington County,2003,15110
Illinois,Wayne County,2003,16791
Illinois,White County,2003,14948
Illinois,Whiteside County,2003,59546
Illinois,Will County,2003,580392
Illinois,Williamson County,2003,62315
Illinois,Winnebago County,2003,285120
Illinois,Woodford County,2003,36021
Illinois,Adams County,2004,66724
Illinois,Alexander County,2004,8938
Illinois,Bond County,2004,18243
Illinois,Boone County,2004,47693
Illinois,Brown County,2004,6777
Illinois,Bureau County,2004,34786
Illinois,Calhoun County,2004,5104
Illinois,Carroll County,2004,16179
Illinois,Cass County,2004,13593
Illinois,Champaign County,2004,186361
Illinois,Christian County,2004,35010
Illinois,Clark County,2004,16803
Illinois,Clay County,2004,13974
Illinois,Clinton County,2004,35955
Illinois,Coles County,2004,52381
Illinois,Cook County,2004,5302421
Illinois,Crawford County,2004,19820
Illinois,Cumberland County,2004,10895
Illinois,DeKalb County,2004,97079
Illinois,De Witt County,2004,16421
Illinois,Douglas County,2004,19738
Illinois,DuPage County,2004,922962
Illinois,Edgar County,2004,19046
Illinois,Edwards County,2004,6706
Illinois,Effingham County,2004,34520
Illinois,Fayette County,2004,20597
Illinois,Ford County,2004,14049
Illinois,Franklin County,2004,39149
Illinois,Fulton County,2004,37372
Illinois,Gallatin County,2004,6108
Illinois,Greene County,2004,14163
Illinois,Grundy County,2004,40862
Illinois,Hamilton County,2004,8372
Illinois,Hancock County,2004,19215
Illinois,Hardin County,2004,4673
Illinois,Henderson County,2004,7915
Illinois,Henry County,2004,49925
Illinois,Iroquois County,2004,30318
Illinois,Jackson County,2004,58711
Illinois,Jasper County,2004,9916
Illinois,Jefferson County,2004,40034
Illinois,Jersey County,2004,22127
Illinois,Jo Daviess County,2004,22298
Illinois,Johnson County,2004,13506
Illinois,Kane County,2004,466937
Illinois,Kankakee County,2004,107424
Illinois,Kendall County,2004,72336
Illinois,Knox County,2004,53290
Illinois,Lake County,2004,684394
Illinois,LaSalle County,2004,111407
Illinois,Lawrence County,2004,16460
Illinois,Lee County,2004,35072
Illinois,Livingston County,2004,38462
Illinois,Logan County,2004,30452
Illinois,McDonough County,2004,32838
Illinois,McHenry County,2004,294351
Illinois,McLean County,2004,158395
Illinois,Macon County,2004,109987
Illinois,Macoupin County,2004,48633
Illinois,Madison County,2004,264032
Illinois,Marion County,2004,40035
Illinois,Marshall County,2004,12997
Illinois,Mason County,2004,15660
Illinois,Massac County,2004,15232
Illinois,Menard County,2004,12516
Illinois,Mercer County,2004,16689
Illinois,Monroe County,2004,30659
Illinois,Montgomery County,2004,30144
Illinois,Morgan County,2004,35978
Illinois,Moultrie County,2004,14324
Illinois,Ogle County,2004,53358
Illinois,Peoria County,2004,182034
Illinois,Perry County,2004,22606
Illinois,Piatt County,2004,16347
Illinois,Pike County,2004,16796
Illinois,Pope County,2004,4229
Illinois,Pulaski County,2004,6825
Illinois,Putnam County,2004,6014
Illinois,Randolph County,2004,33241
Illinois,Richland County,2004,15934
