STNAME,CTYNAME,YEAR,POPULATION
Oklahoma,Lincoln County,2005,31987
Oklahoma,Logan County,2005,35399
Oklahoma,Love County,2005,9028
Oklahoma,McClain County,2005,29912
Oklahoma,McCurtain County,2005,33458
Oklahoma,McIntosh County,2005,19388
Oklahoma,Major County,2005,7171
Oklahoma,Marshall County,2005,14365
Oklahoma,Mayes County,2005,39049
Oklahoma,Murray County,2005,12566
Oklahoma,Muskogee County,2005,70210
Oklahoma,Noble County,2005,11112
Oklahoma,Nowata County,2005,10621
Oklahoma,Okfuskee County,2005,11263
Oklahoma,Oklahoma County,2005,685871
Oklahoma,Okmulgee County,2005,39332
Oklahoma,Osage County,2005,44952
Oklahoma,Ottawa County,2005,32475
Oklahoma,Pawnee County,2005,16470
Oklahoma,Payne County,2005,76144
Oklahoma,Pittsburg County,2005,43910
Oklahoma,Pontotoc County,2005,35439
Oklahoma,Pottawatomie County,2005,67707
Oklahoma,Pushmataha County,2005,11467
Oklahoma,Roger Mills County,2005,3261
Oklahoma,Rogers County,2005,79669
Oklahoma,Seminole County,2005,24119
Oklahoma,Sequoyah County,2005,40204
Oklahoma,Stephens County,2005,42544
Oklahoma,Texas County,2005,20021
Oklahoma,Tillman County,2005,8358
Oklahoma,Tulsa County,2005,570051
Oklahoma,Wagoner County,2005,63119
Oklahoma,Washington County,2005,48740
Oklahoma,Washita County,2005,11264
Oklahoma,Woods County,2005,8540
Oklahoma,Woodward County,2005,18849
Oklahoma,Adair County,2006,21858
Oklahoma,Alfalfa County,2006,5584
Oklahoma,Atoka County,2006,14308
Oklahoma,Beaver County,2006,5313
Oklahoma,Beckham County,2006,19315
Oklahoma,Blaine County,2006,12493
Oklahoma,Bryan County,2006,38956
Oklahoma,Caddo County,2006,29637
Oklahoma,Canadian County,2006,100421
Oklahoma,Carter County,2006,46980
Oklahoma,Cherokee County,2006,45036
Oklahoma,Choctaw County,2006,15091
Oklahoma,Cimarron County,2006,2684
Oklahoma,Cleveland County,2006,232379
Oklahoma,Coal County,2006,5613
Oklahoma,Comanche County,2006,112293
Oklahoma,Cotton County,2006,6393
Oklahoma,Craig County,2006,15006
Oklahoma,Creek County,2006,68216
Oklahoma,Custer County,2006,25704
Oklahoma,Delaware County,2006,39873
Oklahoma,Dewey County,2006,4369
Oklahoma,Ellis County,2006,3769
Oklahoma,Garfield County,2006,57145
Oklahoma,Garvin County,2006,26955
Oklahoma,Grady County,2006,50051
Oklahoma,Grant County,2006,4513
Oklahoma,Greer County,2006,5739
Oklahoma,Harmon County,2006,2916
Oklahoma,Harper County,2006,3333
Oklahoma,Haskell County,2006,12058
Oklahoma,Hughes County,2006,13605
Oklahoma,Jackson County,2006,26241
Oklahoma,Jefferson County,2006,6289
Oklahoma,Johnston County,2006,10421
Oklahoma,Kay County,2006,45760
Oklahoma,Kingfisher County,2006,14092
Oklahoma,Kiowa County,2006,9540
Oklahoma,Latimer County,2006,10487
Oklahoma,Le Flore County,2006,49200
Oklahoma,Lincoln County,2006,32203
Oklahoma,Logan County,2006,35756
Oklahoma,Love County,2006,9048
Oklahoma,McClain County,2006,30920
Oklahoma,McCurtain County,2006,33467
Oklahoma,McIntosh County,2006,19476
Oklahoma,Major County,2006,7200
Oklahoma,Marshall County,2006,14594
Oklahoma,Mayes County,2006,39361
Oklahoma,Murray County,2006,12685
Oklahoma,Muskogee County,2006,70431
Oklahoma,Noble County,2006,11030
Oklahoma,Nowata County,2006,10650
Oklahoma,Okfuskee County,2006,11191
Oklahoma,Oklahoma County,2006,693007
Oklahoma,Okmulgee County,2006,39156
Oklahoma,Osage County,2006,44933
Oklahoma,Ottawa County,2006,32757
Oklahoma,Pawnee County,2006,16512
Oklahoma,Payne County,2006,79741
Oklahoma,Pittsburg County,2006,44249
Oklahoma,Pontotoc County,2006,35721
Oklahoma,Pottawatomie County,2006,68162
Oklahoma,Pushmataha County,2006,11517
Oklahoma,Roger Mills County,2006,3241
Oklahoma,Rogers County,2006,81476
Oklahoma,Seminole County,2006,24109
Oklahoma,Sequoyah County,2006,40728
Oklahoma,Stephens County,2006,42751
Oklahoma,Texas County,2006,20096
Oklahoma,Tillman County,2006,8259
Oklahoma,Tulsa County,2006,577271
Oklahoma,Wagoner County,2006,65071
Oklahoma,Washington County,2006,49058
Oklahoma,Washita County,2006,11465
Oklahoma,Woods County,2006,8390
Oklahoma,Woodward County,2006,19016
Oklahoma,Adair County,2007,21938
Oklahoma,Alfalfa County,2007,5571
Oklahoma,Atoka County,2007,14453
Oklahoma,Beaver County,2007,5325
Oklahoma,Beckham County,2007,20787
Oklahoma,Blaine County,2007,12607
Oklahoma,Bryan County,2007,39474
Oklahoma,Caddo County,2007,28479
Oklahoma,Canadian County,2007,103948
Oklahoma,Carter County,2007,47287
Oklahoma,Cherokee County,2007,45065
Oklahoma,Choctaw County,2007,15002
Oklahoma,Cimarron County,2007,2655
Oklahoma,Cleveland County,2007,235906
Oklahoma,Coal County,2007,5654
Oklahoma,Comanche County,2007,114503
Oklahoma,Cotton County,2007,6367
Oklahoma,Craig County,2007,15136
Oklahoma,Creek County,2007,68835
Oklahoma,Custer County,2007,25865
Oklahoma,Delaware County,2007,40511
Oklahoma,Dewey County,2007,4368
Oklahoma,Ellis County,2007,3836
Oklahoma,Garfield County,2007,57434
Oklahoma,Garvin County,2007,27074
Oklahoma,Grady County,2007,50428
Oklahoma,Grant County,2007,4482
Oklahoma,Greer County,2007,5803
Oklahoma,Harmon County,2007,2833
Oklahoma,Harper County,2007,3302
Oklahoma,Haskell County,2007,12102
