STNAME,CTYNAME,YEAR,POPULATION,Deaths,Death Rate (%),Indicator
Colorado,Conejos County,2004,8235,2.0,0.024286581663630843,Control
Colorado,Costilla County,2004,3497,0.0,0.0,Control
Colorado,Crowley County,2004,5920,2.0,0.033783783783783786,Control
Colorado,Custer County,2004,3821,6.0,0.15702695629416383,Control
Colorado,Delta County,2004,29402,3.0,0.010203387524658186,Control
Colorado,Denver County,2004,558506,111.0,0.01987445076686732,Control
Colorado,Dolores County,2004,1797,1.0,0.05564830272676683,Control
Colorado,Douglas County,2004,234810,1.0,0.00042587624036455004,Control
Colorado,Eagle County,2004,46317,3.0,0.006477103439341926,Control
Colorado,Elbert County,2004,22139,5.0,0.022584579249288587,Control
Colorado,El Paso County,2004,558680,60.0,0.01073960048686189,Control
Colorado,Fremont County,2004,46858,1.0,0.0021341073029151904,Control
Colorado,Garfield County,2004,47881,1.0,0.002088511100436499,Control
Colorado,Gilpin County,2004,4861,7.0,0.1440032915038058,Control
Colorado,Grand County,2004,13186,5.0,0.03791900500530866,Control
Colorado,Gunnison County,2004,14315,6.0,0.041914076143904994,Control
Colorado,Hinsdale County,2004,809,5.0,0.6180469715698393,Control
Colorado,Huerfano County,2004,7714,9.0,0.1166709878143635,Control
Colorado,Jackson County,2004,1463,0.0,0.0,Control
Colorado,Jefferson County,2004,522889,40.0,0.007649807129237754,Control
Colorado,Kiowa County,2004,1394,4.0,0.28694404591104733,Control
Colorado,Kit Carson County,2004,8098,8.0,0.09878982464806126,Control
Colorado,Lake County,2004,7697,5.0,0.06496037417175522,Control
Colorado,La Plata County,2004,46905,8.0,0.017055750986035605,Control
Colorado,Larimer County,2004,271830,28.0,0.010300555494242726,Control
Colorado,Las Animas County,2004,15588,7.0,0.04490633820887863,Control
Colorado,Lincoln County,2004,5612,2.0,0.03563791874554526,Control
Colorado,Logan County,2004,21122,0.0,0.0,Control
Colorado,Mesa County,2004,127095,8.0,0.006294504111097997,Control
Colorado,Mineral County,2004,939,6.0,0.6389776357827476,Control
Colorado,Moffat County,2004,13335,8.0,0.05999250093738283,Control
Colorado,Montezuma County,2004,24429,3.0,0.012280486307257768,Control
Colorado,Montrose County,2004,36192,4.0,0.011052166224580018,Control
Colorado,Morgan County,2004,27607,1.0,0.0036222697142029195,Control
Colorado,Otero County,2004,19389,2.0,0.010315127133941926,Control
Colorado,Ouray County,2004,4086,3.0,0.07342143906020558,Control
Colorado,Park County,2004,16420,7.0,0.04263093788063337,Control
Colorado,Phillips County,2004,4522,1.0,0.022114108801415303,Control
Colorado,Pitkin County,2004,14834,5.0,0.03370635027639207,Control
Colorado,Prowers County,2004,13784,4.0,0.02901915264074289,Control
Colorado,Pueblo County,2004,148578,3.0,0.0020191414610507613,Control
Colorado,Rio Blanco County,2004,5918,3.0,0.05069280162216965,Control
Colorado,Rio Grande County,2004,12193,8.0,0.06561141638645124,Control
Colorado,Routt County,2004,21077,3.0,0.014233524695165346,Control
Colorado,Saguache County,2004,6798,4.0,0.05884083553986467,Control
Colorado,San Juan County,2004,580,1.0,0.1724137931034483,Control
Colorado,San Miguel County,2004,7115,0.0,0.0,Control
Colorado,Sedgwick County,2004,2512,3.0,0.11942675159235669,Control
Colorado,Summit County,2004,25177,5.0,0.01985939548000159,Control
Colorado,Teller County,2004,21130,0.0,0.0,Control
Colorado,Washington County,2004,4777,3.0,0.06280092108017585,Control
Colorado,Weld County,2004,217706,5.0,0.002296675332788256,Control
Colorado,Yuma County,2004,9671,2.0,0.020680384655154586,Control
Colorado,Adams County,2005,397463,63.0,0.015850531999204956,Control
Colorado,Alamosa County,2005,15317,5.0,0.032643468042044786,Control
Colorado,Arapahoe County,2005,525293,54.0,0.010279977079458512,Control
Colorado,Archuleta County,2005,11623,8.0,0.0688290458573518,Control
Colorado,Baca County,2005,3979,8.0,0.20105554159336517,Control
Colorado,Bent County,2005,6169,4.0,0.0648403306856865,Control
Colorado,Boulder County,2005,286545,26.0,0.009073618454343995,Control
Colorado,Broomfield County,2005,48490,6.0,0.012373685295937306,Control
Colorado,Chaffee County,2005,16710,4.0,0.023937761819269897,Control
Colorado,Cheyenne County,2005,1875,3.0,0.16,Control
Colorado,Clear Creek County,2005,9011,7.0,0.0776828320941072,Control
Colorado,Conejos County,2005,8190,8.0,0.09768009768009768,Control
Colorado,Costilla County,2005,3370,5.0,0.14836795252225518,Control
Colorado,Crowley County,2005,5939,4.0,0.06735140596059942,Control
Colorado,Custer County,2005,3879,0.0,0.0,Control
Colorado,Delta County,2005,29491,5.0,0.016954325048319827,Control
Colorado,Denver County,2005,561323,140.0,0.02494107670628141,Control
Colorado,Dolores County,2005,1803,3.0,0.16638935108153077,Control
Colorado,Douglas County,2005,246058,11.0,0.004470490697315267,Control
Colorado,Eagle County,2005,47719,3.0,0.006286803998407343,Control
Colorado,Elbert County,2005,22374,6.0,0.026816840976133013,Control
Colorado,El Paso County,2005,567103,83.0,0.01463578926579475,Control
Colorado,Fremont County,2005,46930,5.0,0.010654165778819518,Control
Colorado,Garfield County,2005,49177,6.0,0.012200825589198203,Control
Colorado,Gilpin County,2005,4939,0.0,0.0,Control
Colorado,Grand County,2005,13114,0.0,0.0,Control
Colorado,Gunnison County,2005,14403,3.0,0.02082899395959175,Control
Colorado,Hinsdale County,2005,792,3.0,0.3787878787878788,Control
Colorado,Huerfano County,2005,7763,5.0,0.0644080896560608,Control
Colorado,Jackson County,2005,1422,3.0,0.2109704641350211,Control
Colorado,Jefferson County,2005,522007,28.0,0.005363912744465112,Control
Colorado,Kiowa County,2005,1385,7.0,0.5054151624548736,Control
Colorado,Kit Carson County,2005,8010,2.0,0.024968789013732832,Control
Colorado,Lake County,2005,7653,8.0,0.10453416960669018,Control
Colorado,La Plata County,2005,47792,5.0,0.010462002008704386,Control
Colorado,Larimer County,2005,275477,12.0,0.0043560805439292576,Control
Colorado,Las Animas County,2005,15608,9.0,0.057662737057919015,Control
Colorado,Lincoln County,2005,5471,9.0,0.16450374702979345,Control
Colorado,Logan County,2005,20849,4.0,0.019185572449517962,Control
Colorado,Mesa County,2005,129457,4.0,0.0030898290552075205,Control
Colorado,Mineral County,2005,923,4.0,0.4333694474539545,Control
Colorado,Moffat County,2005,13122,6.0,0.04572473708276177,Control
Colorado,Montezuma County,2005,24468,5.0,0.020434853686447606,Control
Colorado,Montrose County,2005,37069,3.0,0.00809301572742723,Control
Colorado,Morgan County,2005,27567,8.0,0.029020205317952623,Control
Colorado,Otero County,2005,19184,7.0,0.036488740617180986,Control
Colorado,Ouray County,2005,4160,8.0,0.19230769230769232,Control
Colorado,Park County,2005,16560,3.0,0.018115942028985508,Control
Colorado,Phillips County,2005,4524,7.0,0.15473032714412024,Control
Colorado,Pitkin County,2005,14905,7.0,0.04696410600469641,Control
Colorado,Prowers County,2005,13684,9.0,0.06577024261911722,Control
Colorado,Pueblo County,2005,149677,21.0,0.014030211722575946,Control
Colorado,Rio Blanco County,2005,5832,9.0,0.15432098765432098,Control
Colorado,Rio Grande County,2005,12043,9.0,0.07473220958232998,Control
Colorado,Routt County,2005,21282,6.0,0.028192839018889203,Control
Colorado,Saguache County,2005,6822,3.0,0.04397537379067722,Control
