BUYER_STATE,BUYER_COUNTY,YEAR,MME
FL,SAINT LUCIE,2014,96223056.043725
FL,SANTA ROSA,2006,44111678.51095
FL,SANTA ROSA,2007,51318023.23173
FL,SANTA ROSA,2008,57690950.8617125
FL,SANTA ROSA,2009,67867268.881575
FL,SANTA ROSA,2010,89435962.15725
FL,SANTA ROSA,2011,90109915.8802125
FL,SANTA ROSA,2012,79863117.23385
FL,SANTA ROSA,2013,71342029.67793751
FL,SANTA ROSA,2014,71458381.080675
FL,SARASOTA,2006,186351133.292275
FL,SARASOTA,2007,242670386.16229
FL,SARASOTA,2008,324196668.0051875
FL,SARASOTA,2009,367976232.2097
FL,SARASOTA,2010,426108315.3456
FL,SARASOTA,2011,412731763.296975
FL,SARASOTA,2012,266242889.0628375
FL,SARASOTA,2013,203960363.4796875
FL,SARASOTA,2014,191787664.83315
FL,SEMINOLE,2006,134735668.4928125
FL,SEMINOLE,2007,185430988.6242125
FL,SEMINOLE,2008,256465771.5015625
FL,SEMINOLE,2009,320779055.995875
FL,SEMINOLE,2010,491538448.9892625
FL,SEMINOLE,2011,521292236.5392375
FL,SEMINOLE,2012,186169025.6092125
FL,SEMINOLE,2013,145164013.9560375
FL,SEMINOLE,2014,133755553.9749375
FL,SUMTER,2006,12822867.205
FL,SUMTER,2007,16784182.853
FL,SUMTER,2008,21509172.271725
FL,SUMTER,2009,30569094.9045375
FL,SUMTER,2010,58311861.7968
FL,SUMTER,2011,54304065.1022625
FL,SUMTER,2012,45944804.344275
FL,SUMTER,2013,41916549.7120125
FL,SUMTER,2014,41593965.8109
FL,SUWANNEE,2006,9345596.31495
FL,SUWANNEE,2007,11324528.01785
FL,SUWANNEE,2008,12980800.460675001
FL,SUWANNEE,2009,12835535.9070375
FL,SUWANNEE,2010,13182171.2063625
FL,SUWANNEE,2011,14079857.971125001
FL,SUWANNEE,2012,13754141.579287501
FL,SUWANNEE,2013,14804655.8088375
FL,SUWANNEE,2014,16818078.414525
FL,TAYLOR,2006,5544284.8075
FL,TAYLOR,2007,6762137.541362501
FL,TAYLOR,2008,8597878.620000001
