STNAME,CTYNAME,YEAR,POPULATION,BUYER_COUNTY_x,BUYER_STATE_x,FIPS Code,State_x,BUYER_STATE_y,BUYER_COUNTY_y,MME,State_y
Arizona,YAVAPAI,2010,210990,YAVAPAI,AZ,4025,Arizona,AZ,YAVAPAI,110148523.001175,Arizona
Arizona,YAVAPAI,2011,211081,YAVAPAI,AZ,4025,Arizona,AZ,YAVAPAI,129925260.2719125,Arizona
Arizona,YAVAPAI,2012,212065,YAVAPAI,AZ,4025,Arizona,AZ,YAVAPAI,136628833.8244875,Arizona
Arizona,YAVAPAI,2013,214539,YAVAPAI,AZ,4025,Arizona,AZ,YAVAPAI,128540935.1328,Arizona
Arizona,YAVAPAI,2014,217882,YAVAPAI,AZ,4025,Arizona,AZ,YAVAPAI,128554520.784675,Arizona
Arizona,YUMA,2006,185267,YUMA,AZ,4027,Arizona,AZ,YUMA,25894650.6193125,Arizona
Arizona,YUMA,2007,189181,YUMA,AZ,4027,Arizona,AZ,YUMA,29081098.18525,Arizona
Arizona,YUMA,2008,193299,YUMA,AZ,4027,Arizona,AZ,YUMA,32244451.655125,Arizona
Arizona,YUMA,2009,196972,YUMA,AZ,4027,Arizona,AZ,YUMA,36826472.2858875,Arizona
Arizona,YUMA,2010,197148,YUMA,AZ,4027,Arizona,AZ,YUMA,38884534.6602,Arizona
Arizona,YUMA,2011,202881,YUMA,AZ,4027,Arizona,AZ,YUMA,48785148.2906625,Arizona
Arizona,YUMA,2012,202520,YUMA,AZ,4027,Arizona,AZ,YUMA,57155121.22065,Arizona
Arizona,YUMA,2013,202447,YUMA,AZ,4027,Arizona,AZ,YUMA,59672704.487025,Arizona
Arizona,YUMA,2014,204064,YUMA,AZ,4027,Arizona,AZ,YUMA,59543259.6215625,Arizona
Florida,ALACHUA,2006,237199,ALACHUA,FL,12001,Florida,FL,ALACHUA,82596618.68772501,Florida
Florida,ALACHUA,2007,240196,ALACHUA,FL,12001,Florida,FL,ALACHUA,95259627.97678752,Florida
Florida,ALACHUA,2008,242133,ALACHUA,FL,12001,Florida,FL,ALACHUA,114675221.9217625,Florida
Florida,ALACHUA,2009,243574,ALACHUA,FL,12001,Florida,FL,ALACHUA,141281048.185425,Florida
Florida,ALACHUA,2010,247624,ALACHUA,FL,12001,Florida,FL,ALACHUA,150910785.8758875,Florida
Florida,ALACHUA,2011,249879,ALACHUA,FL,12001,Florida,FL,ALACHUA,145750680.8992875,Florida
Florida,ALACHUA,2012,251596,ALACHUA,FL,12001,Florida,FL,ALACHUA,127727613.0215625,Florida
Florida,ALACHUA,2013,252585,ALACHUA,FL,12001,Florida,FL,ALACHUA,107507710.845675,Florida
Florida,ALACHUA,2014,255606,ALACHUA,FL,12001,Florida,FL,ALACHUA,102605375.415,Florida
Florida,BAKER,2006,25021,BAKER,FL,12003,Florida,FL,BAKER,11900178.6375,Florida
Florida,BAKER,2007,25605,BAKER,FL,12003,Florida,FL,BAKER,13793788.183225,Florida
Florida,BAKER,2008,26048,BAKER,FL,12003,Florida,FL,BAKER,15651322.154225,Florida
Florida,BAKER,2009,26336,BAKER,FL,12003,Florida,FL,BAKER,19165967.295,Florida
Florida,BAKER,2010,27067,BAKER,FL,12003,Florida,FL,BAKER,29821453.215,Florida
Florida,BAKER,2011,27055,BAKER,FL,12003,Florida,FL,BAKER,32777553.12,Florida
Florida,BAKER,2012,27059,BAKER,FL,12003,Florida,FL,BAKER,21659461.65,Florida
Florida,BAKER,2013,27008,BAKER,FL,12003,Florida,FL,BAKER,18677498.7825,Florida
Florida,BAKER,2014,27123,BAKER,FL,12003,Florida,FL,BAKER,16520998.8,Florida
Florida,BAY,2006,163802,BAY,FL,12005,Florida,FL,BAY,61998102.472075,Florida
Florida,BAY,2007,163300,BAY,FL,12005,Florida,FL,BAY,61255857.9992625,Florida
Florida,BAY,2008,163802,BAY,FL,12005,Florida,FL,BAY,65665012.9212625,Florida
Florida,BAY,2009,164767,BAY,FL,12005,Florida,FL,BAY,68131167.19293751,Florida
Florida,BAY,2010,169209,BAY,FL,12005,Florida,FL,BAY,73912302.2531625,Florida
Florida,BAY,2011,169587,BAY,FL,12005,Florida,FL,BAY,73505844.8476875,Florida
Florida,BAY,2012,171818,BAY,FL,12005,Florida,FL,BAY,73272653.351325,Florida
Florida,BAY,2013,174704,BAY,FL,12005,Florida,FL,BAY,76379516.77950001,Florida
