STNAME,CTYNAME,YEAR,POPULATION
New York,Schenectady County,2006,149973
New York,Schoharie County,2006,31891
New York,Schuyler County,2006,18931
New York,Seneca County,2006,34201
New York,Steuben County,2006,96648
New York,Suffolk County,2006,1507211
New York,Sullivan County,2006,75828
New York,Tioga County,2006,50463
New York,Tompkins County,2006,99997
New York,Ulster County,2006,181551
New York,Warren County,2006,65641
New York,Washington County,2006,62303
New York,Wayne County,2006,91780
New York,Westchester County,2006,945172
New York,Wyoming County,2006,42056
New York,Yates County,2006,24422
New York,Albany County,2007,298246
New York,Allegany County,2007,49183
New York,Bronx County,2007,1385122
New York,Broome County,2007,194978
New York,Cattaraugus County,2007,80253
New York,Cayuga County,2007,79932
New York,Chautauqua County,2007,134014
New York,Chemung County,2007,88058
New York,Chenango County,2007,51132
New York,Clinton County,2007,81865
New York,Columbia County,2007,62284
New York,Cortland County,2007,48313
New York,Delaware County,2007,46287
New York,Dutchess County,2007,291815
New York,Erie County,2007,911784
New York,Essex County,2007,37856
New York,Franklin County,2007,50482
New York,Fulton County,2007,55075
New York,Genesee County,2007,58159
New York,Greene County,2007,49170
New York,Hamilton County,2007,5016
New York,Herkimer County,2007,62433
New York,Jefferson County,2007,117957
New York,Kings County,2007,2539206
New York,Lewis County,2007,26322
New York,Livingston County,2007,63123
New York,Madison County,2007,70049
New York,Monroe County,2007,730629
New York,Montgomery County,2007,48606
New York,Nassau County,2007,1353061
New York,New York County,2007,1625251
New York,Niagara County,2007,214181
New York,Oneida County,2007,230948
New York,Onondaga County,2007,452944
New York,Ontario County,2007,103834
New York,Orange County,2007,376226
New York,Orleans County,2007,42370
New York,Oswego County,2007,121444
New York,Otsego County,2007,62194
New York,Putnam County,2007,99012
New York,Queens County,2007,2277779
New York,Rensselaer County,2007,155294
New York,Richmond County,2007,482854
New York,Rockland County,2007,297005
New York,St. Lawrence County,2007,109594
New York,Saratoga County,2007,216259
New York,Schenectady County,2007,150288
New York,Schoharie County,2007,31932
New York,Schuyler County,2007,18923
New York,Seneca County,2007,34276
New York,Steuben County,2007,96430
New York,Suffolk County,2007,1511732
New York,Sullivan County,2007,76403
New York,Tioga County,2007,50402
New York,Tompkins County,2007,100413
New York,Ulster County,2007,181530
New York,Warren County,2007,65804
New York,Washington County,2007,62577
New York,Wayne County,2007,91529
New York,Westchester County,2007,946563
New York,Wyoming County,2007,41841
New York,Yates County,2007,24535
New York,Albany County,2008,297537
New York,Allegany County,2008,49370
New York,Bronx County,2008,1389315
New York,Broome County,2008,194635
New York,Cattaraugus County,2008,79835
New York,Cayuga County,2008,79755
New York,Chautauqua County,2008,133595
New York,Chemung County,2008,87902
New York,Chenango County,2008,50937
New York,Clinton County,2008,81699
New York,Columbia County,2008,61961
New York,Cortland County,2008,48131
New York,Delaware County,2008,45938
New York,Dutchess County,2008,292500
New York,Erie County,2008,909858
New York,Essex County,2008,37740
New York,Franklin County,2008,50440
New York,Fulton County,2008,55122
New York,Genesee County,2008,57950
New York,Greene County,2008,49106
New York,Hamilton County,2008,4959
New York,Herkimer County,2008,62293
New York,Jefferson County,2008,117157
New York,Kings County,2008,2549941
New York,Lewis County,2008,26030
New York,Livingston County,2008,63067
New York,Madison County,2008,70092
New York,Monroe County,2008,731543
New York,Montgomery County,2008,48623
New York,Nassau County,2008,1353151
New York,New York County,2008,1631599
New York,Niagara County,2008,214197
New York,Oneida County,2008,230540
New York,Onondaga County,2008,453373
New York,Ontario County,2008,104782
New York,Orange County,2008,379520
New York,Orleans County,2008,42246
New York,Oswego County,2008,121551
New York,Otsego County,2008,61811
New York,Putnam County,2008,99090
New York,Queens County,2008,2288574
New York,Rensselaer County,2008,155751
New York,Richmond County,2008,487365
New York,Rockland County,2008,298747
New York,St. Lawrence County,2008,109553
New York,Saratoga County,2008,217958
New York,Schenectady County,2008,151252
New York,Schoharie County,2008,31803
New York,Schuyler County,2008,18868
New York,Seneca County,2008,34060
New York,Steuben County,2008,96452
New York,Suffolk County,2008,1513435
New York,Sullivan County,2008,75969
New York,Tioga County,2008,50235
New York,Tompkins County,2008,101027
New York,Ulster County,2008,181722
New York,Warren County,2008,65926
New York,Washington County,2008,62727
New York,Wayne County,2008,91517
New York,Westchester County,2008,949835
New York,Wyoming County,2008,41549
New York,Yates County,2008,24573
New York,Albany County,2009,298284
New York,Allegany County,2009,49157
New York,Bronx County,2009,1397287
New York,Broome County,2009,194630
New York,Cattaraugus County,2009,79689
New York,Cayuga County,2009,79526
New York,Chautauqua County,2009,133503
New York,Chemung County,2009,88331
New York,Chenango County,2009,50620
New York,Clinton County,2009,81618
New York,Columbia County,2009,61618
New York,Cortland County,2009,47996
New York,Delaware County,2009,45514
New York,Dutchess County,2009,293562
New York,Erie County,2009,909247
New York,Essex County,2009,37686
New York,Franklin County,2009,50274
New York,Fulton County,2009,55053
New York,Genesee County,2009,57868
New York,Greene County,2009,48947
New York,Hamilton County,2009,4923
New York,Herkimer County,2009,62236
New York,Jefferson County,2009,118719
New York,Kings County,2009,2567098
New York,Lewis County,2009,26157
New York,Livingston County,2009,62871
New York,Madison County,2009,69954
New York,Monroe County,2009,733703
New York,Montgomery County,2009,48616
New York,Nassau County,2009,1357429
New York,New York County,2009,1629054
New York,Niagara County,2009,214557
New York,Oneida County,2009,231044
New York,Onondaga County,2009,454753
New York,Ontario County,2009,105650
New York,Orange County,2009,383532
New York,Orleans County,2009,42051
New York,Oswego County,2009,121377
New York,Otsego County,2009,61602
New York,Putnam County,2009,99265
New York,Queens County,2009,2306712
New York,Rensselaer County,2009,155541
New York,Richmond County,2009,491730
New York,Rockland County,2009,300173
New York,St. Lawrence County,2009,109715
New York,Saratoga County,2009,220069
New York,Schenectady County,2009,152169
New York,Schoharie County,2009,31529
New York,Schuyler County,2009,18720
New York,Seneca County,2009,34049
New York,Steuben County,2009,96552
New York,Suffolk County,2009,1518475
New York,Sullivan County,2009,75828
New York,Tioga County,2009,50064
New York,Tompkins County,2009,101779
New York,Ulster County,2009,181440
New York,Warren County,2009,66021
New York,Washington County,2009,62753
New York,Wayne County,2009,91291
New York,Westchester County,2009,955962
New York,Wyoming County,2009,41398
New York,Yates County,2009,24482
New York,Albany County,2010,304085
New York,Allegany County,2010,48973
New York,Bronx County,2010,1386929
New York,Broome County,2010,200474
New York,Cattaraugus County,2010,80220
New York,Cayuga County,2010,79905
New York,Chautauqua County,2010,134726
New York,Chemung County,2010,88895
New York,Chenango County,2010,50404
New York,Clinton County,2010,82099
New York,Columbia County,2010,63035
New York,Cortland County,2010,49277
New York,Delaware County,2010,47888
New York,Dutchess County,2010,297721
New York,Erie County,2010,919160
New York,Essex County,2010,39359
New York,Franklin County,2010,51642
New York,Fulton County,2010,55453
New York,Genesee County,2010,59932
New York,Greene County,2010,49137
New York,Hamilton County,2010,4852
New York,Herkimer County,2010,64470
New York,Jefferson County,2010,116609
New York,Kings County,2010,2509954
New York,Lewis County,2010,27072
New York,Livingston County,2010,65226
New York,Madison County,2010,73442
New York,Monroe County,2010,744589
New York,Montgomery County,2010,50312
New York,Nassau County,2010,1341642
New York,New York County,2010,1589041
New York,Niagara County,2010,216474
New York,Oneida County,2010,234752
New York,Onondaga County,2010,467549
New York,Ontario County,2010,108183
New York,Orange County,2010,373451
New York,Orleans County,2010,42850
New York,Oswego County,2010,122141
New York,Otsego County,2010,62260
New York,Putnam County,2010,99644
New York,Queens County,2010,2234574
New York,Rensselaer County,2010,159342
New York,Richmond County,2010,469607
New York,Rockland County,2010,312497
New York,St. Lawrence County,2010,111821
New York,Saratoga County,2010,220123
New York,Schenectady County,2010,154867
New York,Schoharie County,2010,32684
New York,Schuyler County,2010,18341
New York,Seneca County,2010,35271
New York,Steuben County,2010,98969
New York,Suffolk County,2010,1494337
New York,Sullivan County,2010,77480
New York,Tioga County,2010,51012
New York,Tompkins County,2010,101743
New York,Ulster County,2010,182422
